열1,업소명,소재지,위도,경도
125,백야,인천광역시 중구 신포로15번길 22-1,37.471548,126.6225097
126,벙커(Bunker),"인천광역시 중구 우현로83번길 18-1,",37.4744673,126.6299953
127,보물섬,"인천광역시 중구 연안부두로33번길 26,",37.454007,126.6054663
128,청춘노래하는포차주점,"인천광역시 중구 개항로 83,",37.4727557,126.6342411
129,월미단란주점,"인천광역시 중구 월미로233번길 3,",37.474847,126.5998173
130,금산7080라이브,"인천광역시 중구 큰우물로 28-6,",37.4727242,126.6317004
131,오션노래타운,"인천광역시 중구 은하수로 1,",37.4976539,126.5589055
132,바커스7080,"인천광역시 중구 흰바위로 37,",37.4922817,126.4904448
133,PINOY PUB 앤 RESTO BAR,"인천광역시 중구 신포로35번길 3,",37.4733945,126.6231442
134,라스칼라(Lascala)주점,"인천광역시 중구 큰우물로 22,",37.4727242,126.6317004
135,버즈LIVE,"인천광역시 중구 은하수로 42,",37.4976539,126.5589055
136,채플린,"인천광역시 중구 연안부두로33번길 24,",37.454007,126.6054663
137,두바이 노래타운,"인천광역시 중구 은하수로29번길 47,",37.4905354,126.5793599
138,노래하는 술창고,"인천광역시 중구 연안부두로 13,",37.4534107,126.5986944
139,헤이노래타운,"인천광역시 중구 신도시남로141번길 9,",37.4939281,126.4898252
140,거해7080,"인천광역시 중구 은하수로 28,",37.4976539,126.5589055
